Ticker,Industry,Website,Dividend Yield %,ROE %,Profit Margin %,Debt/Equity %,Revenue Growth %,Summary
CPI,Banks - Regional,https://www.capitecbank.co.za,1.78,30.5,39.68,,16.4,"Capitec Limited through its subsidiaries, provides various banking products and services in South Africa. The company operates through three segments: Personal banking, Business banking, and Insurance. It offers transactional banking services; flexible, notice, fixed, and tax-free savings; call and notice deposits; term, home, personal, vehicle, education, home improvement, business, term, medical, instalment, short-term, and mortgage loans; overdrafts, instalment sales and leases, credit and debit cards, and access facilities; and payment, merchant, forex, franchising, and value-added services. The company also provides treasury products comprising foreign exchange spot trades and foreign exchange forward contracts; insurance products, such as general, fleet, agricultural, engineering, motor traders, hospitality, contractors all risk, life, and credit insurance, as well as funeral cover insurance; and trade finance products, including letters of credit, trade guarantees, bills of collection, exchange control, and society for worldwide interbank financial telecommunication, as well as app and online banking. In addition, it offers vehicle and asset finance, property finance, rental finance, credit line products, and card machines. Capitec Limited was formerly known as Capitec Bank Holdings Limited and changed its name to Capitec Limited in August 2026. The company was incorporated in 1999 and is based in Stellenbosch, South Africa."
SBK,Banks - Regional,https://www.standardbank.com/sbg/standard-bank-group,5.89,19.01,28.87,,6.1,"Standard Bank Group Limited provides financial products and services in South Africa and internationally. It offers a range of onshore and offshore savings and investment; home and personal loans; forex solutions; transactional banking, including digital wallets, cards, payment and transfer platforms; private and digital banking; forex solutions; vehicle and asset finance; credit cards; and insurance solutions. The company also provides transactional banking; business lending; commercial asset finance; merchant, trade, fleet, and business solar solutions; specific solutions for clients in various sectors, such as agriculture, manufacturing, healthcare, and tourism; app and internet banking; international payments and forex; alternative funding options; and business resources and insurance. In addition, it offers advisory, transactional, trading, risk management, and funding solutions; and long and short-term insurance, health insurance, and asset management. Further, the company engages in trust or other fiduciary activities. The company was founded in 1862 and is headquartered in Johannesburg, South Africa."
MTN,Telecom Services,https://www.mtn.com,2.58,16.7,7.52,93.68,8.8,"MTN Group Limited, together with its subsidiaries, provides mobile telecommunications services in South Africa, Nigeria, South and East Africa, West and Central Africa, and the Middle East and North Africa. The company offers data, voice and SMS, interconnect, and roaming services; and sells mobile devices. It also provides digital and fintech services, such as value-added services, rich media services, insurance, airtime lending, in-store payments, remittances, prepaid services, and e-commerce services; and MTN Mobile Money fintech platform. In addition, the company offers managed network services, cloud, unified communications, internet of things, and security as a service; network as a services, including subsea cables, terrestrial and metro fibre, data centre and cable landing stations, and towers and radio access network assets; and marketplace solutions for government agencies, insurance firms, banking institutions, and SMEs. MTN Group Limited was incorporated in 1994 and is based in Johannesburg, South Africa."
VAL,Other Precious Metals & Mining,https://www.valterraplatinum.com,8.74,37.82,23.39,3.05,93.2,"Valterra Platinum Limited engages in the production and supply of platinum group metals, base metals, and precious metals in South Africa, Asia, Europe, North America, and internationally. The company produces platinum, palladium, rhodium, ruthenium, iridium, and osmium; and nickel, copper, cobalt sulphate, and chrome, as well as gold and sodium sulphate. It also provides fuel cell electric vehicles. The company was formerly known as Anglo American Platinum Limited and changed its name to Valterra Platinum Limited in May 2025. The company was incorporated in 1946 and is headquartered in Johannesburg, South Africa."
VOD,Telecom Services,https://www.vodacom.com,5.4,25.36,12.31,87.89,9.4,"Vodacom Group Limited provides communications products and services in South Africa, Egypt, Kenya, and internationally. The company offers voice, messaging, converged services, broadband, data connectivity, mobile financial services, and other value-added services. It also provides mobile and fixed line connectivity, Internet of Things technology, and cloud hosting and security services, as well as the SmartCitizen mobile application for e-government solutions. In addition, the company offers financial business solutions, including point of sales, business cash advance, group schemes, trading bridge, and business legal cover. Further, it provides personal financial solutions comprising the VodaPay mobile digital payments app; VodaSure, a short- and long-term insurance coverage for devices, emergency assistance, legal advice, life, and funeral; and VodaLend, a digital funding solution. The company was incorporated in 1993 and is headquartered in Midrand, South Africa. Vodacom Group Limited operates as a subsidiary of Vodafone Group Public Limited Company."
S32,Other Industrial Metals & Mining,https://www.south32.net,2.34,11.4,18.3,19.05,1.1,"South32 Limited operates as a diversified metals and mining company. The company operates through Sierra Gorda, Cannington, Hermosa, Australia Manganese, South Africa Manganese, and Mozal Aluminium segments. It explores for copper, silver, lead, zinc, manganese, and base metal deposits. The company has operations in Australia, Bahrain, Brazil, China, Italy, Japan, Mozambique, the Netherlands, South Africa, the United States, rest of Africa, rest of Asia, rest of Europe, rest of the Middle East, rest of North America, and rest of Oceania. South32 Limited was incorporated in 2000 and is headquartered in Perth, Australia."
HAR,Gold,https://www.harmony.co.za,4.91,48.05,29.57,12.57,49.2,"Harmony Gold Mining Company Limited engages in the exploration, extraction, and processing of mineral properties in South Africa, Papua New Guinea, and Australia. The company explores for gold, uranium, silver, and copper deposits. It has nine underground operations in the Witwatersrand Basin; the Kraaipan Greenstone Belt; and various surface source operations in South Africa. In addition, the company owns interests in the Hidden Valley, an open-pit gold and silver mine; and the Wafi-Golpu project located in Morobe Province in Papua New Guinea. Further, it holds interest in Eva Copper Project located in Queensland, Australia. Harmony Gold Mining Company Limited was incorporated in 1950 and is based in Randfontein, South Africa."
IMP,Other Precious Metals & Mining,https://www.implats.co.za,4.53,29.22,22.97,1.99,72.2,"Impala Platinum Holdings Limited engages in the mining, concentrating, refining, and sells of platinum group metals (PGMs) and associated base metals in South Africa, Zimbabwe, and Canada. The company produces platinum, palladium, rhodium, nickel, and by-products, as well as ruthenium, iridium, and gold. It has mining operations on the Bushveld Complex located in South Africa, the Great Dyke situated in Zimbabwe, as well as the Canadian Shield. The company was incorporated in 1957 and is based in Illovo, South Africa."
ABG,Banks - Regional,https://www.absa.africa,7.72,13.9,22.53,,4.8,"Absa Group Limited, together with its subsidiaries, provides retail, business, corporate, investment banking, insurance, financial, and wealth management products and services in South Africa and internationally. The company offers life and non-life insurance products; residential property-related finance solutions; mortgages; vehicle and asset finance products and services; cash, debit, credit and prepaid cards; personal loans; corporate, relationship, and transactional banking services; mobile payments; and savings and investment products and services. It also provides insurance and financial advisory, stockbroking and portfolio management, and trust administrative services. In addition, the company offers trade and working capital, cash management, payment, and liquidity products and solutions; and investment banking, private equity and infrastructure investment, and commercial property financing services. Further, it provides broker-dealer trading in debt and equity securities; and solicitation, syndication, selling, and arranging of equity and debt products, as well as financial, leasing, and management services. The company was formerly known as Barclays Africa Group Limited and changed its name to Absa Group Limited in May 2018. Absa Group Limited was incorporated in 1986 and is based in Johannesburg, South Africa."
DSY,Insurance - Life,https://www.discovery.co.za,1.46,17.82,15.85,22.74,9.9,"Discovery Limited provides various insurance products and services primarily in South Africa and the United Kingdom. It operates through the SA Health, SA Life, SA Invest, SA Insure, SA Bank, UK Health, UK Life, and All Other segments. The company offers health, life, car, travel, business, and home insurance; motor, building, household content, and portable possessions insurance; private medical insurance; and commercial short-term risk insurance. It also provides pension and provident fund solutions; managed care services; financial solutions; investment products; retail banking solutions, including deposits and loans and advances; and Vitality, which offers health and lifestyle benefits. The company was formerly known as Discovery Holdings Limited and changed its name to Discovery Limited in December 2012. Discovery Limited was founded in 1992 and is based in Sandton, South Africa."
SHP,Department Stores,https://www.shopriteholdings.co.za,2.71,25.37,2.93,166.46,8.0,"Shoprite Holdings Ltd, an investment holding company, engages in the food retail and wholesale business in South Africa and internationally. It operates through four segments: Supermarkets RSA, Supermarkets Non-RSA, and Other Operating segments. The company also offers clothing, general merchandise, cosmetics, and liquor products. In addition, it distributes various pharmaceutical products and surgical equipment to pharmacies, hospitals, clinics, dispensing doctors, and veterinary surgeons. In addition, it operates furniture stores retailing products, such as furniture, household appliances, and home entertainment systems. The company operates stores under the Shoprite, Checkers, Checkers Hyper, Usave, Checkers Foods, OK Furniture, House & Home, Shoprite LiquorShop, OK Franchise, Checkers LiquorShop, MediRite, UNIQ, Petshop Science, Checkers Outdoor, Transpharm, Checkers Little Me, Freshmark, Red Star Wholesale, Rainmaker, K'nect, Shoprite Send, Shoprite Cash & Carry, Computicket, Pingo, Shoprite Sixty60 and Checkers Sixty60 brands. The company also operates franchise stores. Further, it provides ticketing, and car rental and accommodation services; stadium management, capacity management, travel management, and access control solutions; and credit financing, financial, and treasury management services. Additionally, it invests in properties; and sells products to franchisees under drop-shipment arrangements. Shoprite Holdings Ltd was incorporated in 1936 and is based in Brackenfell, South Africa."
SLM,Insurance - Life,https://www.sanlamonline.co.za,5.97,19.93,8.15,18.97,-11.3,"Sanlam Limited provides various financial services in South Africa, Pan-Africa, Asia, and internationally. The company operates through Sanlam Life and Savings; Pan-Africa; Asia; Sanlam Investments; and Santam segments. It offers life, disability, severe illness, income protection, funeral, credit life, health solutions, and cancer coverage; and corporate insurance solutions, including group risk, life, disability, severe and critical illness, and funeral insurance. The company also provides financial planning services; retirement solutions, such as saving for retirement, retirement preservation, retirement fund members, and two-pot retirement; investments for education planning, unit trusts, and tax-free savings; credit solutions, such as personal and home loans, online shopping credit, and same day express loan; and Sanlam reality programs. In addition, it offers consulting and advisory; health solutions comprising wellness, employee assistance programs, occupational health programme, primary healthcare, and onsite clinics; individual health solutions which includes medical aid, gap cover, and primary care; business assurance and commercial insurance; medium, small and micro enterprises development services, such as access to funding, business skills, development support, financial solutions, and access to markets. The company serves individual and institutional clients, as well as entry-level, middle-income market, and high net worth clients. Sanlam Limited was incorporated in 1918 and is headquartered in Bellville, South Africa."
BID,Food Distribution,https://www.bidcorpgroup.com,2.81,18.81,3.69,48.63,-1.5,"Bid Corporation Limited operates as a foodservice distributor in the United Kingdom, Australia, the Netherlands, Italy, Czech Republic, New Zealand, Belgium, South Africa, the People's Republic of China, Hong Kong, and internationally. The company engages in supplying frozen, ambient, and chilled products to caterers and foodservice businesses; fresh food to hospitality, institutional, catering, and retail sectors; premium ice cream and texture-modified meals for people with swallowing difficulties; and proteins, dairy, charcuterie, and specialty products to hotels, international restaurant groups, and fine-dining establishments. It is also involved in buying business; trading and marine services; meat, poultry, and dairy manufacturing and distribution; and bakery ingredients and equipment business. Bid Corporation Limited was founded in 1988 and is headquartered in Johannesburg, South Africa."
SOL,Specialty Chemicals,https://www.sasol.com,,8.82,4.47,65.33,17.9,"Sasol Limited operates as a chemical and energy company in South Africa, Mozambique, the United States, Europe, and internationally. It offers bitumen, industrial heating fuels, naphtha, lubricants and lubricant base oils, liquefied petroleum gas, automotive and industrial lubricants, greases, cleansers and degreasers, automotive fuels, and burner fuels, as well as illuminating paraffin transport fuels, such as petrol, diesel, and jet fuels. The company also provides methane rich and natural gas; leaners and degreasers; hydrocarbon liquid fuel; specialty gas, butane, and propane; gasoline, kerosene (jet fuel), olefins, alcohols, polymers, solvents, surfactants, co-monomers, ammonia, methanol, crude tar acids, sulphur, and fuel oil; gas to liquid fuel; sustainable aviation fuel; and other fuels, as well as engages in the wholesale of motor fuels. In addition, it is involved in engineering, research and development, and technology transfer; management of cash resources, investments, and procurement of loans; development and implementation of international gas to liquid and CTL ventures; marketing of fuels and lubricants; production, trading, and transportation of oil products, petrochemicals and chemical products, and derivatives; and coal mining activities. The company serves adhesives, agriculture and forestry, automotive and transportation, aviation, burner fuels, chemicals, construction and materials, corrosion protection, electrical and electronics, flavors and fragrances, furniture, health and medical, household and consumer goods, industrial products, lubricants, manufacturing, mining, packaging, paints and coatings, personal care, pharmaceuticals, plastics and polymers, publishing and inks, pulp and paper, rubber and tires, specialty graphite, steel and foundry, textile and leather, water treatment, and other industries. Sasol Limited was founded in 1950 and is based in Sandton, South Africa."
NED,Banks - Regional,https://www.nedbank.co.za,7.36,8.03,14.34,,4.8,"Nedbank Group Limited, together with its subsidiaries, provides various wholesale and retail banking services in South Africa, rest of Africa, Europe, Asia, the United States, and internationally. The company operates through Nedbank Corporate and Investment Banking; Nedbank Business and Commercial Banking; Nedbank Personal and Private Banking; Nedbank Africa Regions; and Centre segments. It offers lending products, advisory services, leverage financing, trading, brokering, structuring, hedging, and client coverage; corporate finance advisory, innovative financial products and services, customised transactional banking, asset management, and commercial property finance; transactional accounts, home loans, vehicle and asset finance, card services, personal loans, insurance and investments; Wealth services include trust and estate planning, stockbroking, and financial planning, as well as tailored banking and services; and franchising and manufacturing industries and public sector. The company also provides life and non-life insurance; asset management; trust and estate planning, stockbroking, and financial planning wealth management services. In addition, it offers capital management, funding, and liquidity risk management. The company was formerly known as Nedcor Limited and changed its name to Nedbank Group Limited in 2005. Nedbank Group Limited was founded in 1831 and is headquartered in Sandton, South Africa."
OUT,Insurance - Diversified,https://www.outsurance.co.za,3.46,38.45,12.99,3.35,6.3,"OUTsurance Group Limited, a financial services company, provides insurance and investment products in South Africa, Australia, and Ireland. It operates through Personal Insurance; Business Insurance; Youi CTP; OUTsurance Central; OUTsurance Ireland; and Life Insurance segments. The company offers short term insurance products for motor vehicle, pets, personal accident, engineering, movable and immovable property, agricultural, and stock in transit; long term insurance products, including life, death, disability, funeral, retrenchment, endowment insurance policies. It also engages in reinsurance business. In addition, it owns a portfolio of Fintech investments and investments in asset management entities. The company serves individuals and small and medium-sized businesses. The company was formerly known as Rand Merchant Investment Holdings Limited and changed its name to OUTsurance Group Limited in December 2022. OUTsurance Group Limited was founded in 1998 and is based in Centurion, South Africa."
SSW,Other Precious Metals & Mining,https://www.sibanyestillwater.com,7.67,34.73,9.8,63.1,64.3,"Sibanye Stillwater Limited, together with its subsidiaries, operates as a precious metals mining company in South Africa, the United States, Europe, and Australia. The company produces platinum group metals (PGMs), platinum, palladium, rhodium, ruthenium, iridium, gold, lithium, zinc, nickel, copper, and silver. Sibanye Stillwater Limited was founded in 2013 and is headquartered in Weltevredenpark, South Africa."
REM,Asset Management,https://www.remgro.com,2.87,1.46,2.82,3.86,-1.2,"Remgro Limited is a principal investment firm. The firm prefers to invest in healthcare, financial services, consumer products, infrastructure, industrial, food, liquor and home care, banking, insurance, industrial, information technology infrastructure services, media, and sport. It considers investments in Africa, UAE, UK, Switzerland, South Africa, and other international countries though investee companies. The firm typically invests in companies with significant influence and board representation. It mainly focuses on the provision of support rather than on being involved in the day-to-day management of business units of investees. Remgro Limited was founded in 1948 and is based in Stellenbosch, South Africa with an additional office in Stellenbosch, South Africa."
NPH,Other Precious Metals & Mining,https://www.northam.co.za,7.52,37.21,25.71,26.07,67.4,"Northam Platinum Holdings Limited, through its subsidiary, Northam Platinum Limited, engages in the production and sale of platinum group metals. The company explores for platinum, palladium, rhodium, gold, iridium, ruthenium, nickel, copper, and chrome deposits. It holds interests in the Booysendal mine located on the eastern limb of the Bushveld complex; the Zondereinde mine located in the northern end of the western limb of the Bushveld complex; and the Eland mine located in the south-eastern portion of the western limb of the Bushveld complex. The company also offers recovery services. Northam Platinum Holdings Limited was incorporated in 2020 and is based in Johannesburg, South Africa."
NRP,Real Estate - Diversified,https://www.nepirockcastle.com,7.45,10.3,54.5,65.87,4.3,"NEPI Rockcastle N.V. is a public limited company domiciled in the Netherlands, with registration number at the Dutch Chamber of Commerce 87488329. The Company's shares are listed on the Main Board of the JSE Limited, Euronext Amsterdam and A2X. NEPI Rockcastle is the premier owner and operator of shopping centres in Central and Eastern Europe. The Group benefits from a highly-skilled internal management team which combines asset management, development, investment, leasing and financial expertise. NEPI Rockcastle N.V. registered office at Strawinskylaan 563, WTC Zuidas, Tower Ten, 5th Floor, 1077 XX Amsterdam. Rockcastle N.V. was established in 2007 and was incorporated in Netherlands."
INP,Capital Markets,https://www.investec.com,6.2,12.37,34.07,,9.4,"Investec Group provides various financial products and services in South Africa, the United Kingdom, and internationally. It operates through four segments: Wealth & Investment, Private Banking, Corporate and Investment Banking and Other, and Group Investments. The Wealth & Investment segment offers wealth management and investment services to high-net-worth individuals, families, charities, and trusts. The Private Banking segment provides lending solutions, transactional banking, savings, bespoke foreign exchange, property finance, leverage finance, travel, insurance, legacy services, investments, trading, and offshore banking. The Corporate and Investment Banking segment delivers lending, advisory, and risk management services to corporate clients, private companies, private equity, listed companies, state-owned enterprises, public sector bodies, institutions, and intermediaries, including central treasury, and liability management. The Group Investments segment manages assets separated from core banking activities, including franchise businesses and standalone asset values. The company offers insurance solutions comprising severe illness, disability, life, mortgage and income protection, and business overloads. It also offers business banking solutions, such as trade and debtor, asset and leverage, structured property, technology asset, supply chain, and medical practice financing services, as well as financing for corporate and private equity firms. In addition, the company provides the company provides advisory; treasury and risk management for foreign exchange, commodities, interest rates, liquidity management, and equity structuring; fixed-income instruments; execution and custody solutions for institutions, hedge funds, corporates, and intermediaries; securities lending; and clearing services. Investec Group was founded in 1974 and is based in Sandton, South Africa."
RNI,Asset Management,https://www.reinet.com,1.85,-3.65,0.0,,,"Reinet Investments S.C.A. operates as an investment entity and securitization vehicle in Luxembourg. The company, through its subsidiary, Reinet Fund S.C.A., F.I.S., identifies and invests in assets that offer long-term growth. Reinet Investments Manager S.A. operates as a general partner of Reinet Investments S.C.A. The company was formerly known as Richemont S.A. and changed its name to Reinet Investments S.C.A. in October 2008. Reinet Investments S.C.A. was incorporated in 1979 and is based in Luxembourg, Luxembourg."
MNP,Paper & Paper Products,https://www.mondigroup.com,1.51,-4.68,-3.36,55.98,1.7,"Mondi plc, together with its subsidiaries, engages in the manufacture and sale of packaging and paper solutions in Africa, Western Europe, Emerging Europe, North America, South America, Asia, and Australia. The company operates through Corrugated Packaging, and Flexible Packaging segments. The Corrugated Packaging segment provides virgin and recycled containerboards for fresh fruit packaging and heavy and fragile goods transport packaging applications; and corrugated solutions, such as corrugated boxes and packaging products. The Flexible Packaging segment offers sack kraft paper, paper bags, specialty kraft paper, consumer flexibles, and functional paper and films. The Uncoated Fine Paper segment provides uncoated fine paper, including home, office, converting, and professional printing papers; and market pulp. The company was incorporated in 2007 and is based in Weybridge, the United Kingdom."
BVT,Conglomerates,https://www.bidvest.co.za,4.28,15.41,4.72,96.23,2.2,"The Bidvest Group Limited, an investment holding company, operates in the services, trading, and distribution industries in South Africa and internationally. It manufactures, markets, distributes, and supplies a range of healthcare products to private and public sectors; retails motors online; develops systems; operates in the vehicle auctioneering, testing, inspection, and certification sectors; and manufactures and trades power tools, strapping, forklifts, ovens, embroidery and sewing machines, tapes under the Hitachi, Signode, Unicarriers, Rational, Tajima, Juki, and Tesa brands. The company is involved in the supply of bathroom and plumbing products under the Plumblink brand; distribution of electrical cable and allied products for the industrial, mining, contractor, construction, engineering, and retail sectors; facilitation of storage, handling, and movement of cargo via ocean freight, air freight, road, and rail; and supply of stationery, paper or printer cartridges, and packaging, and data services. In addition, it offers short-term insurance products and insurance broking services on vehicle insurance cover and related value-added products; motor vehicle accessories under the Moto Quip brand; camping and outdoor equipment under the Leisure Quip brand; terminal operations and support, international clearing and freight forwarding, integrated logistics, supply chain solutions, and marine and insurance services; and luggage and travel accessories. Further, the company engages in hygiene, cleaning, and facilities management business; owning, management, and development of property; and provision of security, laundry, landscaping, food, travel, cargo and aviation, office water, and coffee vending services, as well as professional property services and consulting. The company was incorporated in 1946 and is headquartered in Johannesburg, South Africa."
KIO,Steel,https://www.angloamericankumba.com,10.28,21.71,17.54,0.25,-10.6,"Kumba Iron Ore Limited, together with its subsidiaries, engages in the exploration, extraction, beneficiation, marketing, sale, and shipping of iron ore for the steel industry in South Africa. It operates through Products  Sishen Mine, Products  Kolomela Mine, Services  Logistics, and Services  Shipping Operations segments. The company produces iron ore at its flagship Sishen mine located near the town of Kathu in the Northern Cape province; and its Kolomela mine located near Postmasburg in the Northern Cape province. It is also involved in the operation of a port in Saldanha Bay in the Western Cape province; and provision of iron ore logistics services through rail, as well as shipping services. The company exports its products to China, Japan, India, South Korea, rest of Asia, Europe, the Middle East, North Africa, rest of Africa, and rest of the Americas. The company was incorporated in 2005 and is headquartered in Johannesburg, South Africa. Kumba Iron Ore Limited is a subsidiary of Anglo South Africa (Pty) Ltd."
